features,strategy,model,cv_pr_auc_mean,cv_pr_auc_std
kaggle_equiv,none,LR,0.14411319380396512,0.00863439235637469
kaggle_equiv,none,RF,0.11085366081265147,0.0055722063380990875
kaggle_equiv,none,XGBoost,0.12894011854071769,0.013923988766305899
kaggle_equiv,cost_sensitive,LR,0.1446668565310646,0.009809946216821871
kaggle_equiv,cost_sensitive,RF,0.11993093044117806,0.017705362791199667
kaggle_equiv,cost_sensitive,XGBoost,0.11851228729344347,0.018443514839705626
kaggle_equiv,smote,LR,0.14471866375217787,0.01128331456355135
kaggle_equiv,smote,RF,0.11267018809488841,0.00918965470677096
kaggle_equiv,smote,XGBoost,0.11582143725469334,0.009282885058171242
full_clinical,none,LR,0.18049124842424474,0.013250121487446991
full_clinical,none,RF,0.1727871751037167,0.021077513149315105
full_clinical,none,XGBoost,0.155708613333502,0.031286815997584524
full_clinical,cost_sensitive,LR,0.18331637684838503,0.013345786870931672
full_clinical,cost_sensitive,RF,0.14658900321904328,0.01859234296292508
full_clinical,cost_sensitive,XGBoost,0.1315090866616327,0.021641270615604054
full_clinical,smote,LR,0.18033020314419007,0.01464560301000025
full_clinical,smote,RF,0.13688466279417186,0.0075875410849741655
full_clinical,smote,XGBoost,0.13643816178554427,0.013714244705657566
