feature,coefficient,abs_coeff
RIDAGEYR,1.0282909314264779,1.0282909314264779
HYPERTENSION,0.5234155458823395,0.5234155458823395
SMOKING_STATUS,0.28503498946806893,0.28503498946806893
INDFMPIR,-0.2169796323046942,0.2169796323046942
BMXBMI,-0.19831670540092317,0.19831670540092317
HEART_ATTACK,0.18374888189205882,0.18374888189205882
BMXWAIST,0.15993210690254628,0.15993210690254628
DIABETES,0.15599564152454626,0.15599564152454626
RIDRETH1,0.1557224544997603,0.1557224544997603
HEART_FAILURE,0.1550871465784702,0.1550871465784702
SEX,-0.13983171749533777,0.13983171749533777
AVG_BPXSY,-0.1059651726584754,0.1059651726584754
DMDEDUC2,-0.09688024395615856,0.09688024395615856
LBXTC,-0.09111139115698329,0.09111139115698329
EVER_MARRIED,-0.0733747375076329,0.0733747375076329
LBXHGB,-0.05771780850744668,0.05771780850744668
HEART_DISEASE_CHD,0.04611497544603773,0.04611497544603773
LBXPLTSI,0.045913223539731436,0.045913223539731436
AVG_BPXDI,0.043540723363689464,0.043540723363689464
LBXWBCSI,0.03481186690194137,0.03481186690194137
LBDHDD,-0.03031331461754432,0.03031331461754432
LBXGH,-0.030176148737417353,0.030176148737417353
