,Train (2007-2014),Test (2015-2018)
N,23446,11273
Stroke n (%),916 (3.9%),482 (4.3%)
Age mean (SD),49.6 (17.8),50.5 (17.8)
Male n (%),11394 (48.6%),5441 (48.3%)
Hypertension n (%),8445 (36.1%),2574 (37.8%)
Diabetes n (%),2902 (12.4%),1715 (15.2%)
Heart Disease n (%),932 (4.0%),506 (4.5%)
Heart Failure n (%),758 (3.2%),413 (3.7%)
Heart Attack n (%),971 (4.1%),517 (4.6%)
BMI mean (SD),29.0 (6.9),29.7 (7.2)
SBP mean (SD),123.6 (18.6),126.3 (19.3)
DBP mean (SD),69.9 (12.9),71.1 (12.8)
HbA1c mean (SD),5.76 (1.07),5.86 (1.14)
Total Chol. mean (SD),193.7 (41.9),189.3 (41.5)
HDL mean (SD),52.5 (15.9),53.7 (16.7)
Smoking: Never n (%),12889 (55.0%),6551 (58.1%)
Smoking: Former n (%),5585 (23.8%),2641 (23.4%)
Smoking: Current n (%),4957 (21.1%),2071 (18.4%)
NH White n (%),10233 (43.6%),3789 (33.6%)
NH Black n (%),4979 (21.2%),2495 (22.1%)
Mexican American n (%),3472 (14.8%),1727 (15.3%)
Other Hispanic n (%),2379 (10.1%),1284 (11.4%)
Other/Multi n (%),2383 (10.2%),1978 (17.5%)
